Desc_Cliente,COD_Cliente
Alan Shonely,CLI00001
Chuck Sachs,CLI00002
Speros Goranitis,CLI00003
Jim Epp,CLI00004
Nat Gilpin,CLI00005
Suzanne McNair,CLI00006
Joy Smith,CLI00007
Bill Shonely,CLI00008
Ashley Jarboe,CLI00009
Jack Lebron,CLI00010
Greg Guthrie,CLI00011
Jamie Kunitz,CLI00012
Henry MacAllister,CLI00013
Carl Jackson,CLI00014
Mary Zewe,CLI00015
Eleni McCrary,CLI00016
Jason Klamczynski,CLI00017
Matt Collins,CLI00018
Lisa Ryan,CLI00019
Maureen Gastineau,CLI00020
Susan Gilcrest,CLI00021
Mitch Webber,CLI00022
Claire Good,CLI00023
Darrin Martin,CLI00024
Art Miller,CLI00025
Michelle Lonsdale,CLI00026
Barry French,CLI00027
Vivek Grady,CLI00028
Anthony Johnson,CLI00029
Russell Applegate,CLI00030
Maria Zettner,CLI00031
Patricia Hirasaki,CLI00032
Robert Barroso,CLI00033
Tony Sayre,CLI00034
Liz Carlisle,CLI00035
Xylona Price,CLI00036
Guy Armstrong,CLI00037
Steven Roelle,CLI00038
David Philippe,CLI00039
Pamela Stobb,CLI00040
Dennis Kane,CLI00041
Sam Zeldin,CLI00042
Michelle Ellison,CLI00043
Darren Budd,CLI00044
Todd Sumrall,CLI00045
Muhammed MacIntyre,CLI00046
Brad Eason,CLI00047
Harry Marie,CLI00048
Frank Olsen,CLI00049
Sibella Parks,CLI00050
Jessica Myrick,CLI00051
Duane Noonan,CLI00052
Dorris Love,CLI00053
Peter McVee,CLI00054
Beth Fritzler,CLI00055
Marc Crier,CLI00056
Bill Tyler,CLI00057
Juliana Krohn,CLI00058
Craig Yedwab,CLI00059
Jim Sink,CLI00060
Arthur Gainer,CLI00061
Ben Peterman,CLI00062
Erin Mull,CLI00063
Shui Tom,CLI00064
Don Miller,CLI00065
Katrina Willman,CLI00066
Anne McFarland,CLI00067
Maureen Grace,CLI00068
Anne Pryor,CLI00069
Don Jones,CLI00070
Daniel Lacy,CLI00071
Tiffany House,CLI00072
Dan Reichenbach,CLI00073
Anna Chung,CLI00074
Greg Tran,CLI00075
Allen Rosenblatt,CLI00076
Benjamin Patterson,CLI00077
Duane Benoit,CLI00078
Erica Smith,CLI00079
Roy Collins,CLI00080
Ted Trevino,CLI00081
Karl Brown,CLI00082
Laurel Beltran,CLI00083
Shirley Schmidt,CLI00084
Susan Pistek,CLI00085
Lynn Smith,CLI00086
Patrick Ryan,CLI00087
Jack Garza,CLI00088
Chloris Kastensmidt,CLI00089
Michael Chen,CLI00090
Justin MacKendrick,CLI00091
Brosina Hoffman,CLI00092
Tamara Dahlen,CLI00093
Valerie Takahito,CLI00094
Mike Vittorini,CLI00095
Mike Caudle,CLI00096
Jasper Cacioppo,CLI00097
Bobby Trafton,CLI00098
Pamela Coakley,CLI00099
Andrew Gjertsen,CLI00100
Michelle Tran,CLI00101
Sandra Flanagan,CLI00102
Nick Crebassa,CLI00103
Maya Herman,CLI00104
Sean ODonnell,CLI00105
Vicky Freymann,CLI00106
Damala Kotsonis,CLI00107
Troy Staebel,CLI00108
Quincy Jones,CLI00109
Paul MacIntyre,CLI00110
Roy Phan,CLI00111
Sally Knutson,CLI00112
Pauline Webber,CLI00113
Katherine Hughes,CLI00114
Eugene Moren,CLI00115
Philip Brown,CLI00116
Sean Braxton,CLI00117
Katherine Nockton,CLI00118
Ross DeVincentis,CLI00119
Tamara Chand,CLI00120
Janet Lee,CLI00121
John Lucas,CLI00122
Liz Thompson,CLI00123
Gary Mitchum,CLI00124
Craig Molinari,CLI00125
Arthur Wiediger,CLI00126
Sung Chung,CLI00127
Lela Donovan,CLI00128
Catherine Glotzbach,CLI00129
Sanjit Engle,CLI00130
Joy Bell,CLI00131
Barry Franz,CLI00132
Tom Prescott,CLI00133
Tony Molinari,CLI00134
Paul Prost,CLI00135
Barry Gonzalez,CLI00136
Dave Poirier,CLI00137
Natalie Webber,CLI00138
Becky Castell,CLI00139
Beth Paige,CLI00140
Tracy Poddar,CLI00141
Jack OBriant,CLI00142
Peter Fuller,CLI00143
Clytie Kelty,CLI00144
Cari Sayre,CLI00145
Kelly Lampkin,CLI00146
Ross Baird,CLI00147
Alan Haines,CLI00148
Ken Lonsdale,CLI00149
Michael Paige,CLI00150
Harold Engle,CLI00151
Giulietta Baptist,CLI00152
Chuck Magee,CLI00153
Matt Abelman,CLI00154
Noel Staavos,CLI00155
Nathan Mautz,CLI00156
Lindsay Castell,CLI00157
Aaron Hawkins,CLI00158
Maureen Fritzler,CLI00159
Fred Hopkins,CLI00160
Ionia McGrath,CLI00161
Charlotte Melton,CLI00162
MaryBeth Skach,CLI00163
Craig Rider,CLI00164
Jim Mitchum,CLI00165
Eric Hoffmann,CLI00166
Steve Chapman,CLI00167
Dave Hallsten,CLI00168
Cassandra Brandow,CLI00169
Cathy Armstrong,CLI00170
Muhammed Yedwab,CLI00171
Neil Knudson,CLI00172
Odella Nelson,CLI00173
Gene McClure,CLI00174
Yana Sorensen,CLI00175
Jeremy Farry,CLI00176
Joe Kamberova,CLI00177
Mike Gockenbach,CLI00178
Dionis Lloyd,CLI00179
Joseph Airdo,CLI00180
Pete Kriz,CLI00181
Shirley Jackson,CLI00182
Russell DAscenzo,CLI00183
Carl Weiss,CLI00184
